1 1e-16 1e-16 1e-16 1e-16
2 1e-16 1e-16 1e-16 1e-16
4 1e-16 1e-16 1e-16 1e-16
8 1e-16 1e-16 1e-16 1e-16
16 8.88178e-16 1e-16 8.88178e-16 8.88178e-16
32 4.44089e-16 1e-16 4.44089e-16 4.44089e-16
64 2.22045e-15 1e-16 2.22045e-15 2.22045e-15
128 7.10543e-15 1e-16 2.22045e-15 7.10543e-15
256 4.88498e-15 1e-16 2.22045e-15 4.88498e-15
512 1.86517e-14 1e-16 2.22045e-15 1.86517e-14
1024 5.72875e-14 1e-16 2.22045e-15 1.86517e-14
2048 3.90799e-14 1e-16 2.22045e-15 1.86517e-14
4096 1.49214e-13 1e-16 2.22045e-15 1.86517e-14
8192 4.56968e-13 1e-16 2.22045e-15 1.86517e-14
16384 3.14859e-13 1e-16 2.22045e-15 1.86517e-14
32768 1.19682e-12 1e-16 2.22045e-15 1.86517e-14
65536 3.65397e-12 1e-16 2.22045e-15 1.86517e-14
131072 2.51976e-12 1e-16 2.22045e-15 1.86517e-14
262144 9.57501e-12 1e-16 2.22045e-15 1.86517e-14
524288 2.923e-11 1e-16 2.22045e-15 1.86517e-14
1048576 2.01585e-11 1e-16 2.22045e-15 1.86517e-14
2097152 7.66023e-11 1e-16 2.22045e-15 1.86517e-14
4194304 2.33839e-10 1e-16 2.22045e-15 1.86517e-14
8388608 1.61268e-10 1e-16 2.22045e-15 1.86517e-14
16777216 6.12818e-10 1e-16 2.22045e-15 1.86517e-14
33554432 1.87071e-09 1e-16 2.22045e-15 1.86517e-14
67108864 1.29014e-09 1e-16 2.22045e-15 1.86517e-14
134217728 4.90255e-09 1e-16 2.22045e-15 1.86517e-14
268435456 1.49657e-08 1e-16 2.22045e-15 1.86517e-14
536870912 1.03212e-08 1e-16 2.22045e-15 1.86517e-14
